date;dish_name;quantity
07/01/2015;The Vegetables + Vegetables Pizza;7
08/01/2015;The Barbecue Chicken Pizza;6
08/01/2015;The Big Meat Pizza;7
08/01/2015;The Brie Carre Pizza;0
08/01/2015;The Calabrese Pizza;4
08/01/2015;The California Chicken Pizza;7
08/01/2015;The Chicken Alfredo Pizza;5
08/01/2015;The Chicken Pesto Pizza;1
08/01/2015;The Classic Deluxe Pizza;4
08/01/2015;The Five Cheese Pizza;5
08/01/2015;The Four Cheese Pizza;10
08/01/2015;The Greek Pizza;3
08/01/2015;The Green Garden Pizza;6
08/01/2015;The Hawaiian Pizza;9
08/01/2015;The Italian Capocollo Pizza;5
08/01/2015;The Italian Supreme Pizza;7
08/01/2015;The Italian Vegetables Pizza;7
08/01/2015;The Mediterranean Pizza;1
08/01/2015;The Mexicana Pizza;5
08/01/2015;The Napolitana Pizza;5
08/01/2015;The Pepper Salami Pizza;4
08/01/2015;The Pepperoni Pizza;9
08/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;5
08/01/2015;The Prosciutto and Arugula Pizza;6
08/01/2015;The Sicilian Pizza;10
08/01/2015;The Soppressata Pizza;1
08/01/2015;The Southwest Chicken Pizza;5
08/01/2015;The Spicy Italian Pizza;10
08/01/2015;The Spinach Pesto Pizza;0
08/01/2015;The Spinach Supreme Pizza;4
08/01/2015;The Spinach and Feta Pizza;7
08/01/2015;The Thai Chicken Pizza;7
08/01/2015;The Vegetables + Vegetables Pizza;8
09/01/2015;The Barbecue Chicken Pizza;3
09/01/2015;The Big Meat Pizza;5
09/01/2015;The Brie Carre Pizza;1
09/01/2015;The Calabrese Pizza;1
09/01/2015;The California Chicken Pizza;5
09/01/2015;The Chicken Alfredo Pizza;3
09/01/2015;The Chicken Pesto Pizza;3
09/01/2015;The Classic Deluxe Pizza;9
09/01/2015;The Five Cheese Pizza;5
09/01/2015;The Four Cheese Pizza;6
09/01/2015;The Greek Pizza;8
09/01/2015;The Green Garden Pizza;5
09/01/2015;The Hawaiian Pizza;5
09/01/2015;The Italian Capocollo Pizza;3
09/01/2015;The Italian Supreme Pizza;4
09/01/2015;The Italian Vegetables Pizza;4
09/01/2015;The Mediterranean Pizza;3
09/01/2015;The Mexicana Pizza;3
09/01/2015;The Napolitana Pizza;2
09/01/2015;The Pepper Salami Pizza;5
09/01/2015;The Pepperoni Pizza;8
09/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;0
09/01/2015;The Prosciutto and Arugula Pizza;5
09/01/2015;The Sicilian Pizza;6
09/01/2015;The Soppressata Pizza;3
09/01/2015;The Southwest Chicken Pizza;2
09/01/2015;The Spicy Italian Pizza;5
09/01/2015;The Spinach Pesto Pizza;1
09/01/2015;The Spinach Supreme Pizza;4
09/01/2015;The Spinach and Feta Pizza;3
09/01/2015;The Thai Chicken Pizza;5
09/01/2015;The Vegetables + Vegetables Pizza;2
10/01/2015;The Barbecue Chicken Pizza;6
10/01/2015;The Big Meat Pizza;4
10/01/2015;The Brie Carre Pizza;1
10/01/2015;The Calabrese Pizza;4
10/01/2015;The California Chicken Pizza;7
10/01/2015;The Chicken Alfredo Pizza;2
10/01/2015;The Chicken Pesto Pizza;1
10/01/2015;The Classic Deluxe Pizza;8
10/01/2015;The Five Cheese Pizza;6
10/01/2015;The Four Cheese Pizza;6
10/01/2015;The Greek Pizza;7
10/01/2015;The Green Garden Pizza;2
10/01/2015;The Hawaiian Pizza;3
10/01/2015;The Italian Capocollo Pizza;2
10/01/2015;The Italian Supreme Pizza;5
10/01/2015;The Italian Vegetables Pizza;4
10/01/2015;The Mediterranean Pizza;3
10/01/2015;The Mexicana Pizza;8
10/01/2015;The Napolitana Pizza;2
10/01/2015;The Pepper Salami Pizza;7
10/01/2015;The Pepperoni Pizza;7
10/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;4
10/01/2015;The Prosciutto and Arugula Pizza;5
10/01/2015;The Sicilian Pizza;3
10/01/2015;The Soppressata Pizza;5
10/01/2015;The Southwest Chicken Pizza;7
10/01/2015;The Spicy Italian Pizza;5
10/01/2015;The Spinach Pesto Pizza;4
10/01/2015;The Spinach Supreme Pizza;5
10/01/2015;The Spinach and Feta Pizza;4
10/01/2015;The Thai Chicken Pizza;4
10/01/2015;The Vegetables + Vegetables Pizza;5
11/01/2015;The Barbecue Chicken Pizza;6
11/01/2015;The Big Meat Pizza;3
11/01/2015;The Brie Carre Pizza;1
11/01/2015;The Calabrese Pizza;4
11/01/2015;The California Chicken Pizza;5
11/01/2015;The Chicken Alfredo Pizza;1
11/01/2015;The Chicken Pesto Pizza;5
11/01/2015;The Classic Deluxe Pizza;3
11/01/2015;The Five Cheese Pizza;0
11/01/2015;The Four Cheese Pizza;3
11/01/2015;The Greek Pizza;1
11/01/2015;The Green Garden Pizza;1
11/01/2015;The Hawaiian Pizza;4
11/01/2015;The Italian Capocollo Pizza;2
11/01/2015;The Italian Supreme Pizza;8
11/01/2015;The Italian Vegetables Pizza;0
11/01/2015;The Mediterranean Pizza;3
11/01/2015;The Mexicana Pizza;8
11/01/2015;The Napolitana Pizza;5
11/01/2015;The Pepper Salami Pizza;8
11/01/2015;The Pepperoni Pizza;12
11/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;1
11/01/2015;The Prosciutto and Arugula Pizza;3
11/01/2015;The Sicilian Pizza;6
11/01/2015;The Soppressata Pizza;3
11/01/2015;The Southwest Chicken Pizza;1
11/01/2015;The Spicy Italian Pizza;4
11/01/2015;The Spinach Pesto Pizza;2
11/01/2015;The Spinach Supreme Pizza;0
11/01/2015;The Spinach and Feta Pizza;5
11/01/2015;The Thai Chicken Pizza;4
11/01/2015;The Vegetables + Vegetables Pizza;4
12/01/2015;The Barbecue Chicken Pizza;8
12/01/2015;The Big Meat Pizza;6
12/01/2015;The Brie Carre Pizza;1
12/01/2015;The Calabrese Pizza;1
12/01/2015;The California Chicken Pizza;4
12/01/2015;The Chicken Alfredo Pizza;1
12/01/2015;The Chicken Pesto Pizza;3
12/01/2015;The Classic Deluxe Pizza;4
12/01/2015;The Five Cheese Pizza;2
12/01/2015;The Four Cheese Pizza;2
12/01/2015;The Greek Pizza;4
12/01/2015;The Green Garden Pizza;4
12/01/2015;The Hawaiian Pizza;5
12/01/2015;The Italian Capocollo Pizza;4
12/01/2015;The Italian Supreme Pizza;3
12/01/2015;The Italian Vegetables Pizza;5
12/01/2015;The Mediterranean Pizza;2
12/01/2015;The Mexicana Pizza;3
12/01/2015;The Napolitana Pizza;3
12/01/2015;The Pepper Salami Pizza;5
12/01/2015;The Pepperoni Pizza;7
12/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;6
12/01/2015;The Prosciutto and Arugula Pizza;2
12/01/2015;The Sicilian Pizza;8
12/01/2015;The Soppressata Pizza;1
12/01/2015;The Southwest Chicken Pizza;9
12/01/2015;The Spicy Italian Pizza;3
12/01/2015;The Spinach Pesto Pizza;2
12/01/2015;The Spinach Supreme Pizza;1
12/01/2015;The Spinach and Feta Pizza;2
12/01/2015;The Thai Chicken Pizza;6
12/01/2015;The Vegetables + Vegetables Pizza;2
13/01/2015;The Barbecue Chicken Pizza;6
13/01/2015;The Big Meat Pizza;2
13/01/2015;The Brie Carre Pizza;1
13/01/2015;The Calabrese Pizza;3
13/01/2015;The California Chicken Pizza;5
13/01/2015;The Chicken Alfredo Pizza;0
13/01/2015;The Chicken Pesto Pizza;3
13/01/2015;The Classic Deluxe Pizza;5
13/01/2015;The Five Cheese Pizza;4
13/01/2015;The Four Cheese Pizza;6
13/01/2015;The Greek Pizza;5
13/01/2015;The Green Garden Pizza;1
13/01/2015;The Hawaiian Pizza;3
13/01/2015;The Italian Capocollo Pizza;7
13/01/2015;The Italian Supreme Pizza;6
13/01/2015;The Italian Vegetables Pizza;2
13/01/2015;The Mediterranean Pizza;1
13/01/2015;The Mexicana Pizza;2
13/01/2015;The Napolitana Pizza;7
13/01/2015;The Pepper Salami Pizza;3
13/01/2015;The Pepperoni Pizza;2
13/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;4
13/01/2015;The Prosciutto and Arugula Pizza;5
13/01/2015;The Sicilian Pizza;6
13/01/2015;The Soppressata Pizza;3
13/01/2015;The Southwest Chicken Pizza;6
13/01/2015;The Spicy Italian Pizza;3
13/01/2015;The Spinach Pesto Pizza;1
13/01/2015;The Spinach Supreme Pizza;0
13/01/2015;The Spinach and Feta Pizza;6
13/01/2015;The Thai Chicken Pizza;6
13/01/2015;The Vegetables + Vegetables Pizza;6
14/01/2015;The Barbecue Chicken Pizza;6
14/01/2015;The Big Meat Pizza;3
14/01/2015;The Brie Carre Pizza;0
14/01/2015;The Calabrese Pizza;4
14/01/2015;The California Chicken Pizza;5
14/01/2015;The Chicken Alfredo Pizza;4
14/01/2015;The Chicken Pesto Pizza;5
14/01/2015;The Classic Deluxe Pizza;7
14/01/2015;The Five Cheese Pizza;9
14/01/2015;The Four Cheese Pizza;3
14/01/2015;The Greek Pizza;3
14/01/2015;The Green Garden Pizza;1
14/01/2015;The Hawaiian Pizza;7
14/01/2015;The Italian Capocollo Pizza;0
14/01/2015;The Italian Supreme Pizza;10
14/01/2015;The Italian Vegetables Pizza;3
14/01/2015;The Mediterranean Pizza;0
14/01/2015;The Mexicana Pizza;4
14/01/2015;The Napolitana Pizza;7
14/01/2015;The Pepper Salami Pizza;6
14/01/2015;The Pepperoni Pizza;6
14/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;3
14/01/2015;The Prosciutto and Arugula Pizza;5
14/01/2015;The Sicilian Pizza;9
14/01/2015;The Soppressata Pizza;1
14/01/2015;The Southwest Chicken Pizza;11
14/01/2015;The Spicy Italian Pizza;3
14/01/2015;The Spinach Pesto Pizza;4
14/01/2015;The Spinach Supreme Pizza;6
14/01/2015;The Spinach and Feta Pizza;4
14/01/2015;The Thai Chicken Pizza;4
14/01/2015;The Vegetables + Vegetables Pizza;7
15/01/2015;The Barbecue Chicken Pizza;5
15/01/2015;The Big Meat Pizza;4
15/01/2015;The Brie Carre Pizza;0
15/01/2015;The Calabrese Pizza;1
15/01/2015;The California Chicken Pizza;5
15/01/2015;The Chicken Alfredo Pizza;2
15/01/2015;The Chicken Pesto Pizza;0
15/01/2015;The Classic Deluxe Pizza;5
15/01/2015;The Five Cheese Pizza;3
15/01/2015;The Four Cheese Pizza;6
15/01/2015;The Greek Pizza;4
15/01/2015;The Green Garden Pizza;0
15/01/2015;The Hawaiian Pizza;7
15/01/2015;The Italian Capocollo Pizza;1
15/01/2015;The Italian Supreme Pizza;2
15/01/2015;The Italian Vegetables Pizza;1
15/01/2015;The Mediterranean Pizza;3
15/01/2015;The Mexicana Pizza;2
15/01/2015;The Napolitana Pizza;2
15/01/2015;The Pepper Salami Pizza;4
15/01/2015;The Pepperoni Pizza;11
15/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;2
15/01/2015;The Prosciutto and Arugula Pizza;4
15/01/2015;The Sicilian Pizza;8
15/01/2015;The Soppressata Pizza;5
15/01/2015;The Southwest Chicken Pizza;7
15/01/2015;The Spicy Italian Pizza;9
15/01/2015;The Spinach Pesto Pizza;2
15/01/2015;The Spinach Supreme Pizza;3
15/01/2015;The Spinach and Feta Pizza;3
15/01/2015;The Thai Chicken Pizza;7
15/01/2015;The Vegetables + Vegetables Pizza;5
16/01/2015;The Barbecue Chicken Pizza;9
16/01/2015;The Big Meat Pizza;4
16/01/2015;The Brie Carre Pizza;0
16/01/2015;The Calabrese Pizza;3
16/01/2015;The California Chicken Pizza;9
16/01/2015;The Chicken Alfredo Pizza;3
16/01/2015;The Chicken Pesto Pizza;1
16/01/2015;The Classic Deluxe Pizza;7
16/01/2015;The Five Cheese Pizza;6
16/01/2015;The Four Cheese Pizza;4
16/01/2015;The Greek Pizza;3
16/01/2015;The Green Garden Pizza;5
16/01/2015;The Hawaiian Pizza;3
16/01/2015;The Italian Capocollo Pizza;6
16/01/2015;The Italian Supreme Pizza;3
16/01/2015;The Italian Vegetables Pizza;3
16/01/2015;The Mediterranean Pizza;2
16/01/2015;The Mexicana Pizza;6
16/01/2015;The Napolitana Pizza;6
16/01/2015;The Pepper Salami Pizza;5
16/01/2015;The Pepperoni Pizza;12
16/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;5
16/01/2015;The Prosciutto and Arugula Pizza;3
16/01/2015;The Sicilian Pizza;6
16/01/2015;The Soppressata Pizza;0
16/01/2015;The Southwest Chicken Pizza;5
16/01/2015;The Spicy Italian Pizza;9
16/01/2015;The Spinach Pesto Pizza;5
16/01/2015;The Spinach Supreme Pizza;2
16/01/2015;The Spinach and Feta Pizza;10
16/01/2015;The Thai Chicken Pizza;7
16/01/2015;The Vegetables + Vegetables Pizza;6
17/01/2015;The Barbecue Chicken Pizza;11
17/01/2015;The Big Meat Pizza;6
17/01/2015;The Brie Carre Pizza;3
17/01/2015;The Calabrese Pizza;1
17/01/2015;The California Chicken Pizza;10
17/01/2015;The Chicken Alfredo Pizza;1
17/01/2015;The Chicken Pesto Pizza;2
17/01/2015;The Classic Deluxe Pizza;3
17/01/2015;The Five Cheese Pizza;0
17/01/2015;The Four Cheese Pizza;2
17/01/2015;The Greek Pizza;3
17/01/2015;The Green Garden Pizza;2
17/01/2015;The Hawaiian Pizza;9
17/01/2015;The Italian Capocollo Pizza;5
17/01/2015;The Italian Supreme Pizza;3
17/01/2015;The Italian Vegetables Pizza;3
17/01/2015;The Mediterranean Pizza;3
17/01/2015;The Mexicana Pizza;1
17/01/2015;The Napolitana Pizza;3
17/01/2015;The Pepper Salami Pizza;2
17/01/2015;The Pepperoni Pizza;10
17/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;4
17/01/2015;The Prosciutto and Arugula Pizza;3
17/01/2015;The Sicilian Pizza;6
17/01/2015;The Soppressata Pizza;4
17/01/2015;The Southwest Chicken Pizza;4
17/01/2015;The Spicy Italian Pizza;3
17/01/2015;The Spinach Pesto Pizza;3
17/01/2015;The Spinach Supreme Pizza;2
17/01/2015;The Spinach and Feta Pizza;0
17/01/2015;The Thai Chicken Pizza;9
17/01/2015;The Vegetables + Vegetables Pizza;4
18/01/2015;The Barbecue Chicken Pizza;9
18/01/2015;The Big Meat Pizza;4
18/01/2015;The Brie Carre Pizza;0
18/01/2015;The Calabrese Pizza;1
18/01/2015;The California Chicken Pizza;9
18/01/2015;The Chicken Alfredo Pizza;1
18/01/2015;The Chicken Pesto Pizza;2
18/01/2015;The Classic Deluxe Pizza;7
18/01/2015;The Five Cheese Pizza;3
18/01/2015;The Four Cheese Pizza;5
18/01/2015;The Greek Pizza;1
18/01/2015;The Green Garden Pizza;2
18/01/2015;The Hawaiian Pizza;4
18/01/2015;The Italian Capocollo Pizza;1
18/01/2015;The Italian Supreme Pizza;6
18/01/2015;The Italian Vegetables Pizza;3
18/01/2015;The Mediterranean Pizza;1
18/01/2015;The Mexicana Pizza;6
18/01/2015;The Napolitana Pizza;3
18/01/2015;The Pepper Salami Pizza;5
18/01/2015;The Pepperoni Pizza;11
18/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;3
18/01/2015;The Prosciutto and Arugula Pizza;4
18/01/2015;The Sicilian Pizza;7
18/01/2015;The Soppressata Pizza;3
18/01/2015;The Southwest Chicken Pizza;2
18/01/2015;The Spicy Italian Pizza;3
18/01/2015;The Spinach Pesto Pizza;3
18/01/2015;The Spinach Supreme Pizza;3
18/01/2015;The Spinach and Feta Pizza;3
18/01/2015;The Thai Chicken Pizza;5
18/01/2015;The Vegetables + Vegetables Pizza;2
19/01/2015;The Barbecue Chicken Pizza;5
19/01/2015;The Big Meat Pizza;7
19/01/2015;The Brie Carre Pizza;1
19/01/2015;The Calabrese Pizza;2
19/01/2015;The California Chicken Pizza;9
19/01/2015;The Chicken Alfredo Pizza;3
19/01/2015;The Chicken Pesto Pizza;4
19/01/2015;The Classic Deluxe Pizza;4
19/01/2015;The Five Cheese Pizza;4
19/01/2015;The Four Cheese Pizza;6
19/01/2015;The Greek Pizza;6
19/01/2015;The Green Garden Pizza;3
19/01/2015;The Hawaiian Pizza;9
19/01/2015;The Italian Capocollo Pizza;4
19/01/2015;The Italian Supreme Pizza;6
19/01/2015;The Italian Vegetables Pizza;3
19/01/2015;The Mediterranean Pizza;5
19/01/2015;The Mexicana Pizza;2
19/01/2015;The Napolitana Pizza;8
19/01/2015;The Pepper Salami Pizza;1
19/01/2015;The Pepperoni Pizza;7
19/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;7
19/01/2015;The Prosciutto and Arugula Pizza;3
19/01/2015;The Sicilian Pizza;3
19/01/2015;The Soppressata Pizza;3
19/01/2015;The Southwest Chicken Pizza;4
19/01/2015;The Spicy Italian Pizza;3
19/01/2015;The Spinach Pesto Pizza;2
19/01/2015;The Spinach Supreme Pizza;0
19/01/2015;The Spinach and Feta Pizza;6
19/01/2015;The Thai Chicken Pizza;8
19/01/2015;The Vegetables + Vegetables Pizza;4
20/01/2015;The Barbecue Chicken Pizza;3
20/01/2015;The Big Meat Pizza;4
20/01/2015;The Brie Carre Pizza;2
20/01/2015;The Calabrese Pizza;1
20/01/2015;The California Chicken Pizza;10
20/01/2015;The Chicken Alfredo Pizza;3
20/01/2015;The Chicken Pesto Pizza;2
20/01/2015;The Classic Deluxe Pizza;8
20/01/2015;The Five Cheese Pizza;10
20/01/2015;The Four Cheese Pizza;3
20/01/2015;The Greek Pizza;3
20/01/2015;The Green Garden Pizza;4
20/01/2015;The Hawaiian Pizza;2
20/01/2015;The Italian Capocollo Pizza;5
20/01/2015;The Italian Supreme Pizza;8
20/01/2015;The Italian Vegetables Pizza;2
20/01/2015;The Mediterranean Pizza;2
20/01/2015;The Mexicana Pizza;3
20/01/2015;The Napolitana Pizza;5
20/01/2015;The Pepper Salami Pizza;6
20/01/2015;The Pepperoni Pizza;5
20/01/2015;The Pepperoni, Mushroom, and Peppers Pizza;2
20/01/2015;The Prosciutto and Arugula Pizza;6
